TIME,GEO,PRODUCT,CONSOM,UNIT,TAX,CURRENCY,Value,Flag and Footnotes
2007S2,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0492
2007S2,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0521
2007S2,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0625
2007S2,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0396
2007S2,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0424
2007S2,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0509
2007S2,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0376
2007S2,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0404
2007S2,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0485
2008S1,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0539
2008S1,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0567
2008S1,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0681
2008S1,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0437
2008S1,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0465
2008S1,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0558
2008S1,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0406
2008S1,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0434
2008S1,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0521
2008S2,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0718
2008S2,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0746
2008S2,Slovenia,Natural gas,Band D1 : Consumption < 20 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0896
2008S2,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0564
2008S2,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0593
2008S2,Slovenia,Natural gas,Band D2 : 20 GJ < Consumption < 200 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0712
2008S2,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,Excluding taxes and levies,Euro,0.0531
2008S2,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,Euro,0.0559
2008S2,Slovenia,Natural gas,Band D3 : Consumption > 200 GJ,Kilowatt-hour,All taxes and levies included,Euro,0.0671
